Device name,Number of active devices
Nokia Nokia 9 (AOP_sprout),353
Samsung Galaxy J5 Pro (j5y17lte),352
Sony Xperia XZ Premium (G8141),349
Samsung Galaxy M01s (a10s),347
Samsung Galaxy S9 (starqltechn),342
Samsung Galaxy S7 Active (poseidonlteatt),341
Google Pixel 4 (flame),334
Samsung Galaxy S8 (dreamqltechn),333
Samsung Galaxy Note8 (greatlteks),333
Xiaomi Redmi  Note  7 Pro (violet),333
Google Pixel 4 XL (coral),330
Huawei nova lite (HWPRA-H),326
Motorola Moto G(4) Plus (athene_f),326
Samsung Galaxy A50s (a50s),324
Samsung Galaxy Note9 (crownqlteue),323
Xiaomi MI 9 SE (grus),321
Xiaomi Redmi S2 (ysl),321
Samsung Galaxy Note8 (greatqltechn),318
Motorola Moto G (5th Gen) (cedric),314
Xiaomi Redmi 5 Plus (vince),310
Samsung Galaxy Note9 (crownlteks),308
Samsung Galaxy Tab A Kids Edition (gtowifi),304
Samsung Galaxy XCover Pro (xcoverpro),300
Redmi Redmi Note 8T (willow),289
Xiaomi MI 8 (dipper),287
Oppo Find X (CPH1875),278
LGE V20 (elsa),278
Samsung Galaxy Tab A (2018 10.5) (gta2xlwifi),278
Samsung Galaxy S9+ (star2lteks),277
Vodafone Smart turbo 7 (VFD501),275
Samsung Galaxy S9+ (star2qltechn),271
Cat Cat S41 (CatS41),268
Bullitt Group Cat S60 (CatS60),268
Samsung Galaxy Note10+ (d2q),268
Samsung Galaxy S8+ (dream2qltesq),268
Samsung Galaxy S8 Active (cruiserlteatt),267
Google Pixel 5 (redfin),264
Huawei Huawei Mate 20 X (HWEVR),261
TCT (Alcatel) Alcatel 1X (U5A_PLUS_4G),260
TCT (Alcatel) Alcatel 3 (A3A),257
Google Pixel 3a XL (bonito),256
Xiaomi Mi 9 Lite (pyxis),251
Samsung Galaxy M31 (m31),250
Nokia Nokia 6.1 Plus (DRG_sprout),248
Huawei Mate 9 Pro (HWLON),248
Motorola moto g(8) plus (doha_n),248
Xiaomi Redmi 7 (onc),244
Sony Xperia Z5 Compact (E5823),243
Samsung Galaxy Tab A 8.0 (gt58wifi),242
Nokia Nokia 2.2 (WSP_sprout),240
Samsung Galaxy Note9 (crownqltechn),239
Samsung Galaxy Tab A (8.0 2019) (gto),235
Meizu M6s (MeizuM6s),234
Motorola moto g(8) power lite (blackjack),233
Samsung Galaxy S8 (dreamlteks),233
Samsung Galaxy Tab A 8.0 (gt58lte),233
Samsung Galaxy S8+ (dream2qltechn),223
Xiaomi Redmi 4X (santoni),223
Sony Xperia XZ2 (H8216),221
Samsung Galaxy Tab A (gta3xl),217
Sony Xperia XZ1 (G8341),216
Huawei Honor 10 (HWCOL),214
Vivo vivo 1907 (1907),213
Sony Xperia XZ2 Compact (H8314),211
Samsung Galaxy A40 (a40),210
Samsung Galaxy Tab Active2 (gtactive2lte),209
Oppo F9 (CPH1823),208
Sony Xperia X (F5121),206
OnePlus OnePlus 7T Pro (OnePlus7TPro),204
Huawei Nexus 6P (angler),203
Samsung Galaxy S9 (starlteks),201
Samsung Galaxy S7 edge (hero2qlteue),199
Redmi Redmi Note 8 pro (begoniain),198
Motorola motorola one vision (kane_sprout),195
Oppo A53 (OP4EFDL1),194
Samsung Galaxy A9 (2018) (a9y18qlte),194
Samsung Galaxy J7(2016) (j7xelte),192
Huawei 华为畅享7S (HWFIG-H),191
Samsung Galaxy M51 (m51),191
Nokia Nokia 1 Plus (ANT),190
Samsung Galaxy S7 edge (hero2qltechn),188
Xiaomi MI MAX 3 (nitrogen),187
Xiaomi MI MAX 2 (oxygen),187
Samsung Galaxy Note10 Lite (r7),187
Xiaomi MIX 2S (polaris),185
Asus ROG Phone 3 (ASUS_I003_1),184
HWANA,183
Huawei Mate 8 (HWNXT),181
Samsung Galaxy A6+ (a6plte),181
Samsung Galaxy J5(2016) (j5xnlte),181
Samsung Galaxy S10 5G (beyondx),178
Motorola Moto C (namath),178
Samsung Galaxy S7  (heroqltetmo),177
Samsung Galaxy S8+ (dream2lteks),171
Samsung Galaxy Fold (winner),171
Asus ZenFone 3 (ZE552KL) (ASUS_Z012D),170
Sony Xperia XZ Premium (G8142),167
Samsung Galaxy Note9 (crownqltesq),166
Huawei HUAWEI Y9 2019 (HWJKM-H),164
Motorola moto g(7) power (ocean),164
Samsung Galaxy A6 (a6lte),163
Redmi Redmi 6 (cereus),163
Xiaomi MIX 2 (chiron),162
Samsung Galaxy Tab A (2017) (gta2swifi),161
Huawei 荣耀 8X (HWJSN-H),160
Samsung Galaxy M30s (m30s),160
Xiaomi MI6 (sagit),160
Samsung Galaxy Note8 (greatqlte),159
Sony Xperia XZ1 Compact (G8441),158
Xiaomi MIX 3 (perseus),158
TCT (Alcatel) ALCATEL ONETOUCH PIXI 4 (4) (Pixi4-4),157
Motorola Moto G4 Play (harpia),155
Samsung Galaxy Z Flip 5G (bloomxq),154
Sony Xperia X Compact (F5321),153
Huawei Honor 7X (HWBND-H),153
Oppo Reno4 Pro 5G (OP4C87L1),152
TCT (Alcatel) Alcatel 1B (Seoul),152
ZTE N9101 (apollo),152
LGE V40 ThinQ (judypn),152
Samsung Galaxy Note8 (greatqlteue),151
Blackview BV8000 Pro (BV8000Pro),150
LGE Nexus 5 (hammerhead),147
Samsung Galaxy Tab A (2017) (gta2slte),146
Motorola Moto E (4) (woods_f),145
Samsung Galaxy J7 Neo (j7velte),144
Huawei Honor 9 (HWSTF),142
Sony Xperia XZ2 (H8296),141
Samsung Galaxy S7  (heroltebmc),141
Sony Xperia Z5 (E6653),140
Xiaomi Redmi Note 4 (nikel),140
Oppo Reno 4Z 5G (OP4BDCL1),139
Lenovo Lenovo Tab M10 (HD) (TB-X505F),139
Asus ROG Phone ll (ASUS_I001_1),138
Sony Xperia XZ (F8332),138
Huawei HUAWEI Mate 20 lite (HWSNE),137
Samsung Galaxy A60 (a60q),137
OnePlus OnePlus 8T (OnePlus8T),136
Vodafone Smart mini 7 (VFD300),136
Samsung Galaxy Tab A7 (gta4lwifi),136
Xiaomi Redmi Note 3 (kate),136
Samsung Galaxy Note10 (d1q),135
TCT (Alcatel) SHINE LITE (shine_lite),135
Oppo F7 (CPH1819),134
Motorola Moto X (4) (payton),134
M5Note,133
OP4F2F,133
Samsung Galaxy Tab S7+ (gts7xlwifi),133
LGE LG Q6 (mh),132
Motorola Moto G (2nd Gen) (titan_umtsds),132
Samsung Galaxy Tab S2 (gts210vewifi),131
Huawei 荣耀畅玩 6X (HWBLN-H),130
M5c,130
Huawei HUAWEI P smart+ 2019 (HWPOT-H),129
Huawei 荣耀9青春版 (HWLLD-H),128
Vivo Y17 (1902D),127
Umidigi A5 Pro (A5_Pro),127
Samsung Galaxy Tab S5e (gts4lvwifi),127
HTC U11 (htc_ocndugl),127
Motorola Moto G (3rd Gen) (osprey_ud2),127
TCT (Alcatel) U5 (BUZZ6T4G),126
Oppo A3s (CPH1803),126
Samsung Galaxy S6 Active (marinelteatt),126
Samsung Galaxy S7  (heroqlteatt),125
Sony Xperia XA2 (H3133),124
Samsung Galaxy C9 Pro (c9ltechn),124
Xiaomi Redmi 6A (cactus),123
Oppo F11 Pro (OP4863),120
Samsung Galaxy J7 Prime (on7xltechn),119
Samsung Galaxy S20+ 5G (y2q),119
Sony Xperia XZ1 (G8342),118
Samsung Galaxy S6 (zerofltevzw),117
Huawei HONOR V20 (HWPCT),116
Lenovo Lenovo Tab M10 FHD Plus (X606F),116
Samsung Galaxy S8 Active (cruiserltesq),116
Samsung Galaxy On Max (j7maxlte),116
Everis E0114 (E0114),112
Vivo V1937 (1937),111
TCT (Alcatel) 9001D (Pixi4-6_4G),111
Xiaomi Mi 5 (gemini),111
Huawei Honor V10 (HWBKL),110
Samsung Galaxy Tab S6 (gts6lwifi),110
HTC U11 (htc_ocnuhl),110
Samsung Galaxy S9 (starqltecs),110
Xiaomi Mi Note 10 Lite (toco),110
Samsung Galaxy Note4 (trlte),110
Motorola moto g(6) (ali),109
LGE LG G5 (h1),109
Vivo vivo 1938 (1938),108
Samsung Galaxy S20 5G (x1q),108
Huawei nova 4 (HWVCE),107
OnePlus 2 (OnePlus2),106
Samsung Galaxy Tab S6 Lite (gta4xl),106
Oppo F11 (OP4883),104
Samsung Galaxy Tab A (2016) with S Pen (gtanotexllte),103
Samsung Galaxy S20 FE 5G (r8q),103
Samsung Galaxy S8 (dreamqltecan),102
Motorola moto g(9) play (guamp),102
Motorola Moto G Plus (5th Gen) (potter),102
Oppo CPH1909 (CPH1909),100
Sony Xperia XA2 (H4133),99
Samsung Galaxy M20 (m20lte),99
Asus ZenFone 4 (ZE554KL) (ASUS_Z01KDA),98
Blackview BV9600Pro (Blackview),98
Samsung Galaxy S6 (zerofltechn),97
Lenovo Lenovo Tab M8  (8505F),96
Samsung Galaxy A20e (a20e),96
Motorola moto g(9) plus (odessa),96
Samsung Galaxy S7  (herolteskt),95
HTC One (M8) (htc_m8),95
Xiaomi Redmi Go (tiare),95
HP Slate 7 (pine),94
Nokia Nokia 8.1 (PNX_sprout),93
Vivo vivo 1723 (1723),91
Huawei honor 10 Lite (HWHRY-H),91
OnePlus OnePlus6T (OnePlus6TSingle),91
Samsung Galaxy Tab A (gt5note10wifi),90
Samsung Galaxy Tab S7 (gts7lwifi),90
HTC M10 (htc_pmeuhl),90
Xiaomi Redmi Note 5A (ugg),90
Vivo vivo 1804 (1804),89
TCT (Alcatel) ALCATEL 3C (A3A_XL_3G),86
Blackview BV9800 (BV9800),86
ZTE ZTE BLADE A521 (P809F10),86
Samsung Galaxy Tab S2 (gts210wifi),86
Samsung Galaxy Tab S3 (gts3lwifi),86
TCT (Alcatel) Alcatel U3 (PIXI4-4C_GO),85
LGE LG G4 (p1),85
TCT (Alcatel) Alcatel 3V (A3A_XL_4G),83
Blackview Blackview BV9700Pro (BV9700Pro),83
Ulefone Armor_X5 (Armor_X5),82
Motorola Moto Z (2) Play (albus),82
Oppo CPH1609 (CPH1609),80
Samsung Galaxy Tab A (2018 10.5) (gta2xllte),80
Sony Xperia Z2 (D6503),79
Samsung Galaxy A70s (a70s),79
Samsung  Galaxy Tab S6  (gts6l),79
Samsung Galaxy M30 (m30lte),79
Sony Xperia 1 (J9110),78
Huawei Honor 8 (HWFRD),77
Huawei HONOR 10i (HWHRY-HF),77
HWTAS,77
LGE G8S ThinQ (betalm),77
HTC One M9 (htc_himauhl),76
Samsung Galaxy Note4 (trelte),76
Vivo 1601 (1601),74
LGE LG K10 LTE (m253),74
LGE LG Q7 (mcv5a),74
LGE QStylus (mcv7a),74
Samsung Galaxy S20 Ultra 5G (z3q),73
OnePlus One (A0001),72
Nokia Nokia 5.3 (CAP_sprout),72
Blackview BV9800Pro (BV9800Pro),71
All other devices,95
